address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,location,location_description,longitude,primary_type,timestamp,unique_key,x_coordinate,y_coordinate,year,zipcode
2620 RIO GRANDE ST Austin TX 78705,6.03,2015-12-14 00:00:00,Not cleared,9.0,THEFT,B,,,2620 RIO GRANDE ST,,Theft,2015-12-13 00:00:00,20155054365.0,3113531.0,10079579.0,2015.0,78705.0
9500 S IH 35 SVRD SB Austin TX 78748,24.21,2015-09-14 00:00:00,Cleared by Arrest,5.0,THEFT BY SHOPLIFTING,F,,,9500 S IH 35 SVRD SB,,Theft,2015-09-03 00:00:00,20152461290.0,3099459.0,10032098.0,2015.0,78748.0
1000 E 41ST ST,,,,,,,,,,,,,,,,,
Austin TX 78751,,,,,,,,,,,,,,,,,
(30.298356 -97.719647),3.02,2014-07-29 00:00:00,Cleared by Arrest,9.0,THEFT BY SHOPLIFTING,B,30.298356,(30.298356-97.719647),1000 E 41ST ST,-97.719647,Theft: Shoplifting,2014-04-04 00:00:00,2014941460.0,3121345.0,10082705.0,2014.0,78751.0
710 E BEN WHITE BLVD EB Austin TX 78745,24.03,2015-01-07 00:00:00,Cleared by Arrest,3.0,THEFT BY SHOPLIFTING,D,,,710 E BEN WHITE BLVD EB,,Theft,2015-01-02 00:00:00,201520863.0,3110518.0,10052730.0,2015.0,78745.0
4809 CABOB ST Austin TX 78744,24.13,2015-08-05 00:00:00,Not cleared,2.0,BURGLARY OF VEHICLE,F,,,4809 CABOB ST,,Theft,2015-07-28 00:00:00,20152090220.0,3115006.0,10043258.0,2015.0,78744.0
1000 E 12TH ST,,,,,,,,,,,,,,,,,
Austin TX 78702,,,,,,,,,,,,,,,,,
(30.272154 -97.730002),8.029999999999999,2014-05-08 00:00:00,Not cleared,1.0,AUTO THEFT,C,30.272154,(30.272154-97.730002),1000 E 12TH ST,-97.730002,Auto Theft,2014-04-04 00:00:00,2014941477.0,3118304.0,10072414.0,2014.0,78702.0
12901 N IH 35 SVRD NB Austin TX 78753,18.39,2015-10-02 00:00:00,Not cleared,7.0,THEFT BY SHOPLIFTING,E,,,12901 N IH 35 SVRD NB,,Theft,2015-06-25 00:00:00,20151761131.0,3135313.0,10124219.0,2015.0,78753.0
11001 CAIRNHILL CT Austin TX 78754,18.559999999999999,2015-05-19 00:00:00,Not cleared,1.0,BURGLARY NON RESIDENCE,C,,,11001 CAIRNHILL CT,,Burglary,2015-05-15 00:00:00,20155021395.0,3152073.0,10100014.0,2015.0,78754.0
6800 BURLESON RD,,,,,,,,,,,,,,,,,
Austin TX 78744,,,,,,,,,,,,,,,,,
(30.201243 -97.709249),24.31,2014-05-09 00:00:00,Not cleared,2.0,THEFT,H,30.201243,(30.201243-97.709249),6800 BURLESON RD,-97.709249,Theft: All Other Larceny,2014-05-08 00:00:00,20145020609.0,3125886.0,10047276.0,2014.0,78744.0
3506 WEBBERVILLE RD,,,,,,,,,,,,,,,,,
Austin TX 78702,,,,,,,,,,,,,,,,,
(30.271198 -97.705609),8.02,2014-12-19 00:00:00,Not cleared,1.0,AUTO THEFT,C,30.271198,(30.271198-97.705609),3506 WEBBERVILLE RD,-97.705609,Auto Theft,2014-12-18 00:00:00,20143521688.0,3125976.0,10072207.0,2014.0,78702.0
2438 W ANDERSON LN,,,,,,,,,,,,,,,,,
Austin TX 78757,,,,,,,,,,,,,,,,,
(30.356418 -97.731423),18.170000000000002,2014-04-17 00:00:00,Not cleared,7.0,THEFT,B,30.356418,(30.356418-97.731423),2438 W ANDERSON LN,-97.731423,Theft: All Other Larceny,2014-04-16 00:00:00,20145016913.0,3117183.0,10103211.0,2014.0,78757.0
12203 ALDERBROOK DR Austin TX 78758,18.5,2015-08-18 00:00:00,Not cleared,7.0,THEFT,A,,,12203 ALDERBROOK DR,,Theft,2015-06-27 00:00:00,20155027878.0,3126309.0,10122749.0,2015.0,78758.0
506 SHERATON AVE Austin TX 78745,24.03,2015-03-05 00:00:00,Not cleared,3.0,BURGLARY OF VEHICLE,D,,,506 SHERATON AVE,,Theft,2015-02-26 00:00:00,2015570410.0,3108503.0,10050584.0,2015.0,78745.0
8201 N FM 620 RD Austin TX 78726,17.14,2015-11-16 00:00:00,Cleared by Arrest,6.0,THEFT BY SHOPLIFTING,A,,,8201 N FM 620 RD,,Theft,2015-10-02 00:00:00,20152750607.0,3080616.0,10124342.0,2015.0,78726.0
11304 BLACKMOOR DR,,,,,,,,,,,,,,,,,
Austin TX 78759,,,,,,,,,,,,,,,,,
(30.426691 -97.77719),17.559999999999999,2014-10-07 00:00:00,Not cleared,10.0,THEFT,A,30.426691,(30.426691-97.77719),11304 BLACKMOOR DR,-97.77719,Theft: All Other Larceny,2014-10-01 00:00:00,20145043572.0,3102055.0,10128145.0,2014.0,78759.0
2701 E 7TH ST,,,,,,,,,,,,,,,,,
Austin TX 78702,,,,,,,,,,,,,,,,,
(30.260544 -97.711225),9.02,2014-12-01 00:00:00,Cleared by Arrest,3.0,THEFT,C,30.260544,(30.260544-97.711225),2701 E 7TH ST,-97.711225,Theft: All Other Larceny,2014-11-28 00:00:00,20143320913.0,3124306.0,10067892.0,2014.0,78702.0
2309 BERKELEY AVE,,,,,,,,,,,,,,,,,
Austin TX 78745,,,,,,,,,,,,,,,,,
(30.20938 -97.805891),17.13,2014-03-25 00:00:00,Not cleared,5.0,BURGLARY OF VEHICLE,D,30.20938,(30.20938-97.805891),2309 BERKELEY AVE,-97.805891,Theft: BOV,2014-03-14 00:00:00,20145011548.0,3094587.0,10048955.0,2014.0,78745.0
10713 TOPPERWEIN DR Austin TX 78758,18.21,2015-03-30 00:00:00,Cleared by Exception,4.0,AUTO THEFT,E,,,10713 TOPPERWEIN DR,,Auto Theft,2015-03-29 00:00:00,2015881339.0,3124933.0,10113515.0,2015.0,78758.0
12900 N IH 35 SVRD SB,,,,,,,,,,,,,,,,,
Austin TX 78753,18.48,2014-07-23 00:00:00,Cleared by Arrest,7.0,THEFT BY SHOPLIFTING,E,,,12900 N IH 35 SVRD SB,,Theft: Shoplifting,2014-07-07 00:00:00,20141881354.0,3134231.0,10124161.0,2014.0,78753.0
2515 DOVEMEADOW DR,,,,,,,,,,,,,,,,,
Austin TX 78744,,,,,,,,,,,,,,,,,
(30.190722 -97.752915),24.12,2014-08-13 00:00:00,Cleared by Exception,2.0,THEFT,F,30.190722,(30.190722-97.752915),2515 DOVEMEADOW DR,-97.752915,Theft: All Other Larceny,2014-07-07 00:00:00,20141880884.0,3111716.0,10042505.0,2014.0,78744.0
505 E HUNTLAND DR Austin TX 78752,15.03,2015-02-11 00:00:00,Not cleared,4.0,THEFT FROM BUILDING,I,,,505 E HUNTLAND DR,,Theft,2015-01-12 00:00:00,20158000095.0,3124632.0,10093682.0,2015.0,78752.0
6000 MIDDLE FISKVILLE RD,,,,,,,,,,,,,,,,,
Austin TX 78752,,,,,,,,,,,,,,,,,
(30.322904 -97.710548),15.03,2014-09-24 00:00:00,Not cleared,4.0,THEFT,I,30.322904,(30.322904-97.710548),6000 MIDDLE FISKVILLE RD,-97.710548,Theft: All Other Larceny,2014-09-22 00:00:00,20145042010.0,3123931.0,10091029.0,2014.0,78752.0
6409 SPRINGDALE RD Austin TX 78723,21.08,2015-04-22 00:00:00,Cleared by Exception,1.0,AGG ASLT STRANGLE/SUFFOCATE,C,,,6409 SPRINGDALE RD,,Agg Assault,2015-04-16 00:00:00,20151060165.0,3137140.0,10085508.0,2015.0,78723.0
5407 PENDLETON LN,,,,,,,,,,,,,,,,,
Austin TX 78723,,,,,,,,,,,,,,,,,
(30.298396 -97.677709),21.07,2014-07-17 00:00:00,Not cleared,1.0,BURGLARY OF VEHICLE,I,30.298396,(30.298396-97.677709),5407 PENDLETON LN,-97.677709,Theft: BOV,2014-07-16 00:00:00,20145031295.0,3134588.0,10082195.0,2014.0,78723.0
2200 E ANDERSON LN SVRD EB,,,,,,,,,,,,,,,,,
Austin TX 78752,,,,,,,,,,,,,,,,,
(30.328814 -97.677334),18.11,,,1.0,AUTO THEFT,I,30.328814,(30.328814-97.677334),2200 E ANDERSON LN SVRD EB,-97.677334,Auto Theft,2014-09-11 00:00:00,20142540206.0,3134873.0,10092689.0,2014.0,78752.0
1500 FARO DR Austin TX 78741,23.18,2015-12-02 00:00:00,Cleared by Arrest,3.0,AGG ASLT STRANGLE/SUFFOCATE,H,,,1500 FARO DR,,Agg Assault,2015-11-27 00:00:00,20153310388.0,3123698.0,10058703.0,2015.0,78741.0
6715 S IH 35 SVRD NB,,,,,,,,,,,,,,,,,
Austin TX 78744,24.27,2014-02-20 00:00:00,Not cleared,2.0,BURGLARY NON RESIDENCE,F,,,6715 S IH 35 SVRD NB,,Burglary / ,,,,,,
Breaking & Entering,2014-02-14 00:00:00,2014450673,3106467,10041401.0,2014,78744,,,,,,,,,,,
5929 BALCONES DR,,,,,,,,,,,,,,,,,
Austin TX 78731,,,,,,,,,,,,,,,,,
(30.340296 -97.755204),17.18,2014-06-02 00:00:00,Not cleared,10.0,BURGLARY OF VEHICLE,B,30.340296,(30.340296-97.755204),5929 BALCONES DR,-97.755204,Theft: BOV,2014-05-13 00:00:00,20145021300.0,3110257.0,10097698.0,2014.0,78731.0
2300 W BEN WHITE BLVD SVRD WB Austin TX 78704,20.04,2015-10-27 00:00:00,Cleared by Exception,5.0,THEFT,D,,,2300 W BEN WHITE BLVD SVRD WB,,Theft,2015-08-09 00:00:00,20155034906.0,3098607.0,10057647.0,2015.0,78704.0
2114 S CONGRESS AVE Austin TX 78704,13.05,2016-01-15 00:00:00,Not cleared,9.0,THEFT OF BICYCLE,D,,,2114 S CONGRESS AVE,,Theft,2015-12-26 00:00:00,20155056333.0,3111431.0,10061453.0,2015.0,78704.0
11910 DOMAIN DR Austin TX 78758,18.489999999999998,2015-03-26 00:00:00,Not cleared,7.0,THEFT BY SHOPLIFTING,A,,,11910 DOMAIN DR,,Theft,2015-03-25 00:00:00,20155012497.0,3120168.0,10120986.0,2015.0,78758.0
5103 NESTING WAY,,,,,,,,,,,,,,,,,
Austin TX 78744,,,,,,,,,,,,,,,,,
(30.184561 -97.746169),24.12,2014-12-29 00:00:00,Cleared by Arrest,2.0,BURGLARY OF RESIDENCE,F,30.184561,(30.184561-97.746169),5103 NESTING WAY,-97.746169,Burglary / ,,,,,,
Breaking & Entering,2014-11-16 00:00:00,20143200822,3113987,10040282.0,2014,78744,,,,,,,,,,,
12900 N IH 35 SVRD SB,,,,,,,,,,,,,,,,,
Austin TX 78753,18.48,,,7.0,THEFT BY SHOPLIFTING,E,,,12900 N IH 35 SVRD SB,,Theft: Shoplifting,2014-04-06 00:00:00,2014960879.0,3134231.0,10124161.0,2014.0,78753.0
15111 AVERY RANCH BLVD,,,,,,,,,,,,,,,,,
Austin TX 78717,,,,,,,,,,,,,,,,,
(30.499098 -97.77256),205.1,2014-02-10 00:00:00,Cleared by Exception,6.0,THEFT,A,30.499098,(30.499098-97.77256),15111 AVERY RANCH BLVD,-97.77256,Theft: All Other Larceny,2014-01-13 00:00:00,20145001921.0,3103012.0,10154463.0,2014.0,78717.0
11400 NAPLES CV,,,,,,,,,,,,,,,,,
Austin TX 78739,,,,,,,,,,,,,,,,,
(30.189117 -97.902071),17.7,2014-05-26 00:00:00,Not cleared,8.0,BURGLARY OF RESIDENCE,D,30.189117,(30.189117-97.902071),11400 NAPLES CV,-97.902071,Burglary / ,,,,,,
Breaking & Entering,2014-05-22 00:00:00,20141420346,3064618,10040892.0,2014,78739,,,,,,,,,,,
8222 JAMESTOWN DR Austin TX 78758,18.05,2015-11-05 00:00:00,Cleared by Arrest,4.0,AGG ASLT STRANGLE/SUFFOCATE,E,,,8222 JAMESTOWN DR,,Agg Assault,2015-11-03 00:00:00,20153071922.0,3122492.0,10102969.0,2015.0,78758.0
2525 W ANDERSON LN Austin TX 78757,15.01,2015-09-08 00:00:00,Cleared by Arrest,7.0,THEFT BY SHOPLIFTING,B,,,2525 W ANDERSON LN,,Theft,2015-09-04 00:00:00,20152471312.0,3116494.0,10102601.0,2015.0,78757.0
1718 WOODWARD ST,,,,,,,,,,,,,,,,,
Austin TX 78741,,,,,,,,,,,,,,,,,
(30.220698 -97.744858),23.07,2014-03-27 00:00:00,Not cleared,3.0,BURGLARY OF VEHICLE,H,30.220698,(30.220698-97.744858),1718 WOODWARD ST,-97.744858,Theft: BOV,2014-03-26 00:00:00,20145013435.0,3114115.0,10053567.0,2014.0,78741.0
11610 QUARTER HORSE TRL,,,,,,,,,,,,,,,,,
Austin TX 78750,,,,,,,,,,,,,,,,,
(30.460476 -97.819473),204.04,2014-12-03 00:00:00,Not cleared,6.0,BURGLARY OF RESIDENCE,A,30.460476,(30.460476-97.819473),11610 QUARTER HORSE TRL,-97.819473,Burglary / ,,,,,,
